record_id,dataset,mix_id,mix_family,ref,temp_source,curing_type,curing_C,WC,cement,fly_ash,SCM_other,binder,Sa,RH,age_day,time_h,M_NS,t_eq,DD,f_c,fck,peakT,peak_day,maturity_provisional
569,lit503,W/C 0.37 – 20 °C,W/C 0.37,"Kwon,2004",ambient,,20.0,0.37,459.0,0.0,0.0,459.0,44.0,95.0,7.0,168.0,5040.0,168.0,140.0,73.0,,,,False
570,lit503,W/C 0.37 – 20 °C,W/C 0.37,"Kwon,2004",ambient,,20.0,0.37,459.0,0.0,0.0,459.0,44.0,95.0,14.0,336.0,10080.0,336.0,280.0,75.0,,,,False
571,lit503,W/C 0.37 – 20 °C,W/C 0.37,"Kwon,2004",ambient,,20.0,0.37,459.0,0.0,0.0,459.0,44.0,95.0,28.0,672.0,20160.0,672.0,560.0,92.0,,,,False
572,lit503,W/C 0.37 – 20 °C,W/C 0.37,"Kwon,2004",ambient,,20.0,0.37,459.0,0.0,0.0,459.0,44.0,95.0,56.0,1344.0,40320.0,1344.0,1120.0,101.0,,,,False
573,lit503,W/C 0.37 – 20 °C,W/C 0.37,"Kwon,2004",ambient,,20.0,0.37,459.0,0.0,0.0,459.0,44.0,95.0,91.0,2184.0,65520.0,2184.0,1820.0,90.0,,,,False
574,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,0.5,12.0,600.0,32.73821733367049,20.0,18.0,,,,False
575,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,1.0,24.0,1200.0,65.47643466734098,40.0,54.0,,,,False
576,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,2.0,48.0,2400.0,130.95286933468196,80.0,68.0,,,,False
577,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,4.0,96.0,4800.0,261.9057386693639,160.0,77.0,,,,False
578,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,8.0,192.0,9600.0,523.8114773387279,320.0,90.0,,,,False
579,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,18.0,432.0,21600.0,1178.5758240121377,720.0,91.0,,,,False
580,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,34.0,816.0,40800.0,2226.1987786895934,1360.0,93.0,,,,False
581,lit503,W/C 0.45 – 40 °C,W/C 0.45,"Kwon,2004",ambient,,40.0,0.45,378.0,0.0,0.0,378.0,47.0,95.0,59.0,1416.0,70800.0,3863.109645373118,2360.0,93.0,,,,False
582,lit503,OPC – 5 °C,OPC,"Park et al., 2003",ambient,,5.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,1.0,24.0,360.0,10.284210424993706,5.0,12.8,,,,False
583,lit503,OPC – 5 °C,OPC,"Park et al., 2003",ambient,,5.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,3.0,72.0,1080.0,30.852631274981118,15.0,20.2,,,,False
584,lit503,OPC – 5 °C,OPC,"Park et al., 2003",ambient,,5.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,7.0,168.0,2520.0,71.98947297495594,35.0,28.6,,,,False
585,lit503,OPC – 20 °C,OPC,"Park et al., 2003",ambient,,20.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,1.0,24.0,720.0,24.0,20.0,18.7,,,,False
586,lit503,OPC – 20 °C,OPC,"Park et al., 2003",ambient,,20.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,3.0,72.0,2160.0,72.0,60.0,27.8,,,,False
587,lit503,OPC – 20 °C,OPC,"Park et al., 2003",ambient,,20.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,7.0,168.0,5040.0,168.0,140.0,35.4,,,,False
588,lit503,OPC – 40 °C,OPC,"Park et al., 2003",ambient,,40.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,1.0,24.0,1200.0,65.47643466734098,40.0,24.5,,,,False
589,lit503,OPC – 40 °C,OPC,"Park et al., 2003",ambient,,40.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,3.0,72.0,3600.0,196.42930400202295,120.0,34.6,,,,False
590,lit503,OPC – 40 °C,OPC,"Park et al., 2003",ambient,,40.0,0.42,420.0,0.0,0.0,420.0,45.5,95.0,7.0,168.0,8400.0,458.3350426713869,280.0,42.8,,,,False
591,lit503,BFS 30% – 20 °C,BFS 30%,"Park et al., 2003",ambient,,20.0,0.42,294.0,0.0,126.0,420.0,45.5,95.0,1.0,24.0,720.0,24.0,20.0,16.8,,,,False
592,lit503,BFS 30% – 20 °C,BFS 30%,"Park et al., 2003",ambient,,20.0,0.42,294.0,0.0,126.0,420.0,45.5,95.0,3.0,72.0,2160.0,72.0,60.0,25.7,,,,False
593,lit503,BFS 30% – 20 °C,BFS 30%,"Park et al., 2003",ambient,,20.0,0.42,294.0,0.0,126.0,420.0,45.5,95.0,7.0,168.0,5040.0,168.0,140.0,33.3,,,,False
