dataset,mix_id,ref,Su_MPa,k_perMPaMaturity,R2,RMSE_MPa,n_points
lit503,W/C 0.32 – 10 °C,"Kwon,2004",93.67,0.0199454644242828,0.9915,2.265,8
lit503,W/C 0.37 – 20 °C,"Kwon,2004",95.61,0.0217958365937034,0.9471,5.013,8
lit503,W/C 0.40 – 20 °C,"Kim et al., 1995",39.78,0.0344969991975524,0.9858,0.774,3
lit503,W/C 0.40 – 40 °C,"Kim et al., 1995",46.95,0.0152916331099395,0.9797,1.031,3
lit503,W/C 0.40 – 5 °C,"Kim et al., 1995",35.09,0.0417179210081301,0.9892,0.659,3
lit503,W/C 0.45 – 10 °C,"Han et al.,1998",35.79,0.0363503218735959,0.9799,0.904,3
lit503,W/C 0.45 – 30 °C,"Han et al.,1998",46.16,0.015924861647259,0.9934,0.654,3
lit503,W/C 0.45 – 40 °C,"Kwon,2004",97.49,0.0144074193192154,0.9453,5.754,8
lit503,W/C 0.50 – 20 °C,"Kim et al., 1995",39.2,0.0200336895052319,0.987,0.802,3
lit503,W/C 0.60 – 10 °C,"Han et al.,1998",26.76,0.0358385659270772,0.9644,0.896,3
lit503,W/C 0.60 – 20 °C,"Kim et al., 1995",32.73,0.017163314866677,0.9917,0.538,3
lit503,W/C 0.60 – 30 °C,"Han et al.,1998",35.54,0.0158858267537462,0.9934,0.501,3
lit55,LIT_wc41_C410_G0_F0,Ryu et al. 2024,37.8,0.0059789216096568,0.755,3.98,15
lit55,LIT_wc45_C370_G0_F0,Ryu et al. 2024,29.99,0.0071282871620706,0.7878,2.936,15
lit55,LIT_wc50_C330_G0_F0,Ryu et al. 2024,23.96,0.0064974161849103,0.7213,2.762,15
lit55,LIT_wc55_C287_G0_F123,Ryu et al. 2024,33.52,0.0014640986392821,0.996,0.413,5
lit55,LIT_wc55_C349_G0_F62,Ryu et al. 2024,34.34,0.001734157276914,0.9851,0.849,5
slab,slab_Exp1,Park et al. 2026,24.78,0.0087384947887965,0.9156,1.11,9
slab,slab_Exp2,Park et al. 2026,36.71,0.0180020972763618,0.91,1.933,13
